job_id,consultant_id,score_de_similarite
5,49,0.7247
5,40,0.7125
5,41,0.7012
7,21,0.7806
7,16,0.7649
7,18,0.7581
7,1,0.7575
7,8,0.7423
8,13,0.732
8,39,0.7045
9,54,0.7475
9,13,0.7283
10,44,0.7636
10,37,0.7116
11,44,0.7507
11,41,0.7161
11,37,0.7134
11,49,0.709
13,12,0.743
16,46,0.7317
16,37,0.7221
16,49,0.7176
16,44,0.7008
17,15,0.7107
17,4,0.706
19,22,0.759
19,17,0.7562
19,38,0.7325
19,27,0.7087
21,21,0.8188
21,16,0.7288
21,18,0.7165
23,37,0.7201
24,0,0.7746
24,4,0.7649
24,5,0.753
24,15,0.7468
24,14,0.7423
25,52,0.7365
26,27,0.7933
26,19,0.7555
26,24,0.7394
26,17,0.7321
26,50,0.7282
27,27,0.8527
27,17,0.8066
27,24,0.8002
27,19,0.7992
27,26,0.7932
28,27,0.829
28,50,0.7877
28,19,0.7686
28,26,0.7613
28,17,0.7607
32,9,0.7131
34,27,0.7648
34,50,0.7196
34,24,0.7132
35,9,0.7145
38,52,0.759
39,44,0.7813
39,49,0.7633
39,40,0.753
39,41,0.7488
39,46,0.7152
40,51,0.7532
40,19,0.7489
40,20,0.7429
40,27,0.7428
40,47,0.7304
