coin,horizon,strategy,n_states,n_periods,n_refits,regime_persistence_days,sharpe_active_ann,sharpe_buy_hold_ann,sharpe_kelly_har_mu60_ann,sharpe_diff_ann_vs_buy_hold,sharpe_diff_ann_vs_kelly_har_mu60,se_daily_LW_vs_buy_hold,se_daily_LW_vs_kelly_har_mu60,t_stat_vs_buy_hold,t_stat_vs_kelly_har_mu60,p_value_one_sided_vs_buy_hold,p_value_one_sided_vs_kelly_har_mu60,BEATS_buy_hold_p005,BEATS_kelly_har_mu60_p005,BEATS_buy_hold_delta_sharpe,BEATS_kelly_har_mu60_delta_sharpe
BTC-USD,1,kelly_hmm_har_mu60_regime,2,1890,75,5.798,0.6874,0.4469,0.743,0.2405,-0.0556,0.016566670316439998,0.010617273758603853,0.9146014264236837,-0.3297142327518065,0.18020045480396096,0.6291920507916346,False,False,True,False
BTC-USD,5,kelly_hmm_har_mu60_regime,2,1870,74,5.899,0.7705,0.4558,0.814,0.3147,-0.0435,0.016409118426537684,0.010789262789301412,1.2082551960444932,-0.253850971860149,0.11347455825257846,0.6001946534868966,False,False,True,False
BTC-USD,10,kelly_hmm_har_mu60_regime,2,1845,73,5.857,0.8771,0.5007,0.8033,0.3764,0.0737,0.0166240362368837,0.011123688612079867,1.426176176140242,0.4174259339696689,0.07690874731985875,0.338183444464357,False,False,True,True
BTC-USD,15,kelly_hmm_har_mu60_regime,2,1820,72,5.688,0.7667,0.4852,0.7753,0.2815,-0.0086,0.01676175153788011,0.010474212686763315,1.0579401869894964,-0.0517473984710761,0.1450413561238484,0.5206350153560333,False,False,True,False
BTC-USD,20,kelly_hmm_har_mu60_regime,2,1795,71,5.609,0.9594,0.462,0.7607,0.4974,0.1988,0.0173454339305432,0.011791780329148455,1.8065368815625713,1.06181902024327,0.03541725929288453,0.14415892667881303,True,False,True,True
ETH-USD,1,kelly_hmm_har_mu60_regime,2,1240,45,13.626,0.6212,0.712,0.6362,-0.0908,-0.015,0.018295190358048167,0.01136174230856165,-0.31271787496364545,-0.08326527186202133,0.6227524930185926,0.5331796932937005,False,False,False,False
ETH-USD,5,kelly_hmm_har_mu60_regime,2,1220,45,14.699,0.6542,0.6934,0.5273,-0.0392,0.1269,0.017899828653652396,0.011408834946953854,-0.13802463860332015,0.7008326962934666,0.5548895274391468,0.24170371532451362,False,False,False,True
ETH-USD,10,kelly_hmm_har_mu60_regime,2,1195,43,13.736,0.9298,0.6342,0.6661,0.2956,0.2637,0.01802174849586788,0.011040714105428192,1.0332803773556858,1.5044388350667635,0.150736353734523,0.06623420560003213,False,False,True,True
ETH-USD,15,kelly_hmm_har_mu60_regime,2,1170,42,16.479,0.9243,0.6581,0.7616,0.2662,0.1627,0.017969071960207902,0.01166065384583018,0.9330600553376581,0.8787209998450447,0.1753944808373955,0.18977628477706543,False,False,True,True
ETH-USD,20,kelly_hmm_har_mu60_regime,2,1145,41,16.357,1.0783,0.6195,0.6164,0.4588,0.4619,0.018150466801879567,0.015168203333779261,1.5921789335312193,1.9183809180922105,0.05567225264541009,0.027531364407711756,False,True,True,True
SOL-USD,1,kelly_hmm_har_mu60_regime,2,595,16,27.045,-0.3149,-0.1645,-0.6006,-0.1504,0.2857,0.033894656605235364,0.02347847650599783,-0.27956324125537885,0.7666721883852243,0.6100936939134706,0.22163822163522706,False,False,False,True
SOL-USD,5,kelly_hmm_har_mu60_regime,2,575,15,28.75,-0.2954,-0.2988,-0.5181,0.0034,0.2227,0.034136948150182686,0.02429745630767222,0.0062632691743634596,0.5773477968205042,0.49750133344932923,0.2818522657384821,False,False,True,True
SOL-USD,10,kelly_hmm_har_mu60_regime,2,550,14,25.0,-0.455,-0.4349,-0.4052,-0.0201,-0.0498,0.033912920530119045,0.02504800854504932,-0.03736000388163279,-0.12526093243698527,0.5149010186648724,0.549841510036833,False,False,False,False
SOL-USD,15,kelly_hmm_har_mu60_regime,2,525,13,27.632,-0.3203,-0.4583,-0.4048,0.1381,0.0845,0.03620034778397327,0.023742201741097986,0.2402931064179384,0.22429442964155197,0.4050515193822255,0.4112641051526189,False,False,True,True
