coin,horizon,n_periods,sharpe_buy_hold,sharpe_kelly_har_mu60,sharpe_ensemble,delta_sharpe_ens_vs_bh,delta_sharpe_ens_vs_k60,p_ens_vs_bh,p_ens_vs_k60,BEATS_ens_vs_bh_p005,BEATS_ens_vs_k60_p005,BEATS_ens_vs_bh_delta,BEATS_ens_vs_k60_delta
BTC-USD,1,1890,0.4467,0.7428,0.7805,0.3339,0.0378,0.06812118112797849,0.3826954686812505,False,False,True,True
BTC-USD,5,1870,0.4557,0.8138,0.8497,0.3941,0.0359,0.03685820842680865,0.3889930741524811,True,False,True,True
BTC-USD,10,1845,0.5005,0.8031,0.8239,0.3235,0.0208,0.07122204482035699,0.4376718736008739,False,False,True,True
BTC-USD,15,1820,0.4851,0.7751,0.8417,0.3567,0.0666,0.05077530691448984,0.30792615776604826,False,False,True,True
BTC-USD,20,1795,0.4619,0.7604,0.8168,0.3551,0.0564,0.0523002718958504,0.3419012298111157,False,False,True,True
ETH-USD,1,1239,0.7067,0.6362,0.7755,0.0688,0.1393,0.39214014498088057,0.1652322498160259,False,False,True,True
ETH-USD,5,1219,0.688,0.5273,0.6957,0.0077,0.1685,0.4876894362045414,0.1234050054115472,False,False,True,True
ETH-USD,10,1194,0.6286,0.6661,0.7323,0.1037,0.0663,0.3415880503698434,0.29604970709945044,False,False,True,True
ETH-USD,15,1169,0.6525,0.7616,0.8367,0.1843,0.0751,0.23312215693962113,0.2771511755753958,False,False,True,True
ETH-USD,20,1144,0.6138,0.6164,0.7339,0.1202,0.1176,0.3206106135190854,0.18643705994447934,False,False,True,True
SOL-USD,1,466,-0.6462,-0.7162,-0.4535,0.1929,0.263,0.3444840648398102,0.18803697810719822,False,False,True,True
SOL-USD,5,450,-0.7829,-0.5404,-0.4815,0.3017,0.059,0.2743526891607242,0.41639507310142043,False,False,True,True
SOL-USD,10,430,-0.9113,-0.4865,-0.6313,0.2804,-0.1449,0.2923952450345434,0.6927309591253128,False,False,True,False
SOL-USD,15,410,-0.931,-0.4765,-0.7361,0.1952,-0.2599,0.3640228715268623,0.8070848855023227,False,False,True,False
SOL-USD,20,390,-1.0782,-0.5742,-0.877,0.2015,-0.3032,0.36030122107402895,0.8433631689039605,False,False,True,False
LTC-USD,1,466,-0.7095,-0.7936,-0.6364,0.0732,0.1574,0.4283598150072656,0.28844753065943474,False,False,True,True
LTC-USD,5,450,-0.8317,-1.3405,-0.985,-0.1535,0.3559,0.6478426034432024,0.0851324314616686,False,False,False,True
LTC-USD,10,430,-0.9295,-1.4465,-1.1514,-0.2221,0.2955,0.7025882364159891,0.13276267108433415,False,False,False,True
LTC-USD,15,410,-0.9537,-0.4835,-0.8315,0.1223,-0.3484,0.3827678913522191,0.8904000587270708,False,False,True,False
LTC-USD,20,390,-1.0893,-0.3282,-0.8025,0.2871,-0.4749,0.23088369420800825,0.9382688275676244,False,False,True,False
XRP-USD,1,466,-0.6199,-0.6747,-0.6012,0.0187,0.0735,0.48117319702745187,0.4159943591729688,False,False,True,True
XRP-USD,5,450,-0.7616,-0.6193,-0.6961,0.0656,-0.0769,0.4331389015086038,0.5961040959845271,False,False,True,False
XRP-USD,10,430,-0.8136,-0.7957,-0.818,-0.0043,-0.0223,0.5034840468296611,0.5240501544790268,False,False,False,False
XRP-USD,15,410,-0.8061,-0.8526,-0.8502,-0.0442,0.0024,0.5357099022252252,0.4974645325966863,False,False,False,True
XRP-USD,20,390,-0.8637,-0.6331,-0.9106,-0.047,-0.2779,0.5362241298748054,0.7479369371359155,False,False,False,False
ADA-USD,1,466,-0.9002,-1.2055,-1.1824,-0.2825,0.0231,0.6825168545311535,0.46641627746182,False,False,False,True
ADA-USD,5,450,-0.9998,-1.5375,-1.2737,-0.2742,0.2641,0.6683383474058222,0.13827721237164647,False,False,False,True
ADA-USD,10,430,-1.067,-1.1923,-1.2087,-0.1419,-0.0164,0.5858632912711984,0.5230298092026825,False,False,False,False
ADA-USD,15,410,-1.1021,-1.3004,-1.3307,-0.2289,-0.0304,0.647558958431911,0.5438528518856166,False,False,False,False
ADA-USD,20,390,-1.1613,-1.0883,-1.2398,-0.0786,-0.1517,0.5520935966778298,0.675587677218471,False,False,False,False
DOT-USD,1,466,-1.2151,-0.8697,-1.1676,0.0476,-0.2982,0.4549121540687442,0.8269120016186161,False,False,True,False
DOT-USD,5,450,-1.2961,-1.147,-1.3543,-0.0583,-0.2075,0.5535638431266767,0.8112693442871052,False,False,False,False
DOT-USD,10,430,-1.4919,-1.5468,-1.7468,-0.2552,-0.2002,0.7226925146062249,0.7767572736664267,False,False,False,False
DOT-USD,15,410,-1.558,-1.8468,-1.7684,-0.2107,0.0784,0.6587744576832257,0.4173834389352491,False,False,False,True
DOT-USD,20,390,-1.6624,-1.4803,-1.9007,-0.2386,-0.421,0.6969674648863551,0.8548006709244045,False,False,False,False
