coin,horizon,fee_bps,n_periods,sharpe_active_ann,sharpe_baseline_ann,delta_sharpe_ann,t_stat,p_value_one_sided,BEATS_p005,BEATS_p010,BEATS_delta_sharpe
BTC-USD,1,5.0,1890,0.7576,0.4469,0.3107,1.075525356573344,0.14106979300430478,False,False,True
BTC-USD,1,10.0,1890,0.743,0.4469,0.2961,1.0242578516527685,0.15285675007776467,False,False,True
BTC-USD,1,20.0,1890,0.7137,0.4469,0.2668,0.9216349828215528,0.17835950232210385,False,False,True
BTC-USD,1,50.0,1890,0.6255,0.4469,0.1787,0.6138376038032746,0.26966132276985366,False,False,True
BTC-USD,1,100.0,1890,0.4781,0.4469,0.0313,0.1060822727011482,0.4577585380542737,False,False,True
BTC-USD,5,5.0,1870,0.8275,0.4558,0.3717,1.2846242274343191,0.09946181413421296,False,True,True
BTC-USD,5,10.0,1870,0.814,0.4558,0.3582,1.237296767243077,0.10798846379939087,False,False,True
BTC-USD,5,20.0,1870,0.787,0.4558,0.3312,1.1424910174209906,0.12662498884076767,False,False,True
BTC-USD,5,50.0,1870,0.7056,0.4558,0.2498,0.8575326042532645,0.19557530189146655,False,False,True
BTC-USD,5,100.0,1870,0.5693,0.4558,0.1135,0.3851635054792227,0.3500581399294911,False,False,True
BTC-USD,10,5.0,1845,0.8167,0.5007,0.316,1.0743804982675098,0.1413260896985178,False,False,True
BTC-USD,10,10.0,1845,0.8033,0.5007,0.3027,1.02845424739944,0.15186810102696113,False,False,True
BTC-USD,10,20.0,1845,0.7766,0.5007,0.2759,0.9364796604908195,0.17451313999465867,False,False,True
BTC-USD,10,50.0,1845,0.6961,0.5007,0.1954,0.6602067576123352,0.25456057816409994,False,False,True
BTC-USD,10,100.0,1845,0.5614,0.5007,0.0607,0.20269554202296816,0.41968650390095497,False,False,True
BTC-USD,15,5.0,1820,0.7905,0.4852,0.3053,1.0370563399633923,0.1498548005196807,False,False,True
BTC-USD,15,10.0,1820,0.7753,0.4852,0.2901,0.9851451146679343,0.16227639786486003,False,False,True
BTC-USD,15,20.0,1820,0.745,0.4852,0.2598,0.8811610041255671,0.18911534125045026,False,False,True
BTC-USD,15,50.0,1820,0.6537,0.4852,0.1685,0.5687926318884884,0.2847484377517018,False,False,True
BTC-USD,15,100.0,1820,0.5009,0.4852,0.0157,0.052511991805743494,0.47906037021981085,False,False,True
