BEATS_delta_sharpe,BEATS_p005,BEATS_p010,coin,delta_sharpe_ann,fee_bps,horizon,n_periods,p_value_one_sided,sharpe_active_ann,sharpe_baseline_ann,t_stat,threshold,turnover_ratio_vs_raw,turnover_total
True,False,False,BTC-USD,0.2961,10.0,1,1890,0.15285675007776467,0.743,0.4469,1.0242578516527685,0.0,1.0,81.2168
True,False,False,BTC-USD,0.1787,50.0,1,1890,0.26966132276985366,0.6255,0.4469,0.6138376038032746,0.0,1.0,81.2168
True,False,False,BTC-USD,0.0313,100.0,1,1890,0.4577585380542737,0.4781,0.4469,0.1060822727011482,0.0,1.0,81.2168
True,False,False,BTC-USD,0.2961,10.0,1,1890,0.15285545623794738,0.743,0.4469,1.0242633316676288,0.025,0.9998,81.1985
True,False,False,BTC-USD,0.1787,50.0,1,1890,0.26962247631795644,0.6256,0.4469,0.6139551686025121,0.025,0.9998,81.1985
True,False,False,BTC-USD,0.0314,100.0,1,1890,0.4576551410214814,0.4782,0.4469,0.10634291666656759,0.025,0.9998,81.1985
True,False,False,BTC-USD,0.2957,10.0,1,1890,0.15321376027474298,0.7426,0.4469,1.0227469204351518,0.05,0.9962,80.9072
True,False,False,BTC-USD,0.1787,50.0,1,1890,0.2696306684140123,0.6256,0.4469,0.6139303753586622,0.05,0.9962,80.9072
True,False,False,BTC-USD,0.0319,100.0,1,1890,0.4569595089248528,0.4787,0.4469,0.10809665964058768,0.05,0.9962,80.9072
True,False,False,BTC-USD,0.2955,10.0,1,1890,0.1534265497419669,0.7423,0.4469,1.0218474667452389,0.1,0.9923,80.59
True,False,False,BTC-USD,0.1789,50.0,1,1890,0.26941050203475037,0.6258,0.4469,0.6145968365853647,0.1,0.9923,80.59
True,False,False,BTC-USD,0.0327,100.0,1,1890,0.45591116672901344,0.4795,0.4469,0.11074024232598996,0.1,0.9923,80.59
True,False,False,BTC-USD,0.2912,10.0,1,1890,0.1565771795750387,0.738,0.4469,1.0086253206668379,0.2,0.9779,79.4252
True,False,False,BTC-USD,0.1758,50.0,1,1890,0.27265742675118965,0.6226,0.4469,0.6047955459147795,0.2,0.9779,79.4252
True,False,False,BTC-USD,0.031,100.0,1,1890,0.45810619671673014,0.4778,0.4469,0.1052059450542664,0.2,0.9779,79.4252
True,False,False,BTC-USD,0.3582,10.0,5,1870,0.10798846379939087,0.814,0.4558,1.237296767243077,0.0,1.0,74.3383
True,False,False,BTC-USD,0.2498,50.0,5,1870,0.19557530189146655,0.7056,0.4558,0.8575326042532645,0.0,1.0,74.3383
True,False,False,BTC-USD,0.1135,100.0,5,1870,0.3500581399294911,0.5693,0.4558,0.3851635054792227,0.0,1.0,74.3383
True,False,False,BTC-USD,0.3582,10.0,5,1870,0.10798846379939087,0.814,0.4558,1.237296767243077,0.025,1.0,74.3383
True,False,False,BTC-USD,0.2498,50.0,5,1870,0.19557530189146655,0.7056,0.4558,0.8575326042532645,0.025,1.0,74.3383
True,False,False,BTC-USD,0.1135,100.0,5,1870,0.3500581399294911,0.5693,0.4558,0.3851635054792227,0.025,1.0,74.3383
True,False,False,BTC-USD,0.3576,10.0,5,1870,0.10840322407416514,0.8134,0.4558,1.2350646396404052,0.05,0.9988,74.2463
True,False,False,BTC-USD,0.2493,50.0,5,1870,0.1960479701202339,0.7051,0.4558,0.8558225497463433,0.05,0.9988,74.2463
True,False,False,BTC-USD,0.1132,100.0,5,1870,0.3504540716398774,0.569,0.4558,0.38409485689357864,0.05,0.9988,74.2463
True,False,False,BTC-USD,0.3576,10.0,5,1870,0.10839034677273185,0.8134,0.4558,1.2351338492546806,0.1,0.9988,74.2463
True,False,False,BTC-USD,0.2493,50.0,5,1870,0.1960305266136806,0.7051,0.4558,0.8558856136843005,0.1,0.9988,74.2463
True,False,False,BTC-USD,0.1132,100.0,5,1870,0.35043770931761875,0.569,0.4558,0.3841390112992712,0.1,0.9988,74.2463
True,False,False,BTC-USD,0.3658,10.0,5,1870,0.10319223201165961,0.8216,0.4558,1.2635698412951284,0.2,0.9793,72.8029
True,False,False,BTC-USD,0.2588,50.0,5,1870,0.18708753365080366,0.7146,0.4558,0.8886800286617258,0.2,0.9793,72.8029
True,False,False,BTC-USD,0.1244,100.0,5,1870,0.33646951402296144,0.5802,0.4558,0.4221178110748593,0.2,0.9793,72.8029
True,False,False,BTC-USD,0.3027,10.0,10,1845,0.15186810102696113,0.8033,0.5007,1.02845424739944,0.0,1.0,72.2624
True,False,False,BTC-USD,0.1954,50.0,10,1845,0.25456057816409994,0.6961,0.5007,0.6602067576123352,0.0,1.0,72.2624
True,False,False,BTC-USD,0.0607,100.0,10,1845,0.41968650390095497,0.5614,0.5007,0.20269554202296816,0.0,1.0,72.2624
True,False,False,BTC-USD,0.3026,10.0,10,1845,0.1519276932311151,0.8033,0.5007,1.02820079094292,0.025,0.9998,72.2511
True,False,False,BTC-USD,0.1954,50.0,10,1845,0.2546349509905774,0.6961,0.5007,0.6599749543179159,0.025,0.9998,72.2511
True,False,False,BTC-USD,0.0606,100.0,10,1845,0.4197665010370726,0.5613,0.5007,0.20249086128834495,0.025,0.9998,72.2511
True,False,False,BTC-USD,0.3019,10.0,10,1845,0.152504384116675,0.8026,0.5007,1.0257514240031511,0.05,0.9998,72.2511
True,False,False,BTC-USD,0.1947,50.0,10,1845,0.25540282868330744,0.6954,0.5007,0.6575837217223014,0.05,0.9998,72.2511
True,False,False,BTC-USD,0.06,100.0,10,1845,0.42066815336251584,0.5606,0.5007,0.20018447737466497,0.05,0.9998,72.2511
True,False,False,BTC-USD,0.3019,10.0,10,1845,0.15250309221213,0.8026,0.5007,1.025756904204577,0.1,0.9983,72.1416
True,False,False,BTC-USD,0.1949,50.0,10,1845,0.2552220771376995,0.6955,0.5007,0.6581462577184123,0.1,0.9983,72.1416
True,False,False,BTC-USD,0.0603,100.0,10,1845,0.4201865341288993,0.561,0.5007,0.20141630327859972,0.1,0.9983,72.1416
True,False,False,BTC-USD,0.3051,10.0,10,1845,0.14996866688233956,0.8058,0.5007,1.0365677841782024,0.2,0.9911,71.6213
True,False,False,BTC-USD,0.1988,50.0,10,1845,0.2509372248927132,0.6995,0.5007,0.6715433552842441,0.2,0.9911,71.6213
True,False,False,BTC-USD,0.0652,100.0,10,1845,0.41376565876011817,0.5659,0.5007,0.21786882525486992,0.2,0.9911,71.6213
True,False,False,BTC-USD,0.2901,10.0,15,1820,0.16227639786486003,0.7753,0.4852,0.9851451146679343,0.0,1.0,81.4912
True,False,False,BTC-USD,0.1685,50.0,15,1820,0.2847484377517018,0.6537,0.4852,0.5687926318884884,0.0,1.0,81.4912
True,False,False,BTC-USD,0.0157,100.0,15,1820,0.47906037021981085,0.5009,0.4852,0.052511991805743494,0.0,1.0,81.4912
True,False,False,BTC-USD,0.2901,10.0,15,1820,0.16227639786486003,0.7753,0.4852,0.9851451146679343,0.025,1.0,81.4912
True,False,False,BTC-USD,0.1685,50.0,15,1820,0.2847484377517018,0.6537,0.4852,0.5687926318884884,0.025,1.0,81.4912
True,False,False,BTC-USD,0.0157,100.0,15,1820,0.47906037021981085,0.5009,0.4852,0.052511991805743494,0.025,1.0,81.4912
True,False,False,BTC-USD,0.2894,10.0,15,1820,0.16292524876893844,0.7746,0.4852,0.9825062659864351,0.05,1.0,81.4912
True,False,False,BTC-USD,0.1677,50.0,15,1820,0.2856221095427376,0.6529,0.4852,0.5662200244876884,0.05,1.0,81.4912
True,False,False,BTC-USD,0.015,100.0,15,1820,0.48004583314530413,0.5002,0.4852,0.05003855255555181,0.05,1.0,81.4912
True,False,False,BTC-USD,0.2897,10.0,15,1820,0.1626304598587085,0.7749,0.4852,0.9837043106752659,0.1,0.9967,81.2248
True,False,False,BTC-USD,0.1685,50.0,15,1820,0.28475881473875453,0.6537,0.4852,0.5687620538230237,0.1,0.9967,81.2248
True,False,False,BTC-USD,0.0162,100.0,15,1820,0.47840378286016383,0.5014,0.4852,0.054160155060790624,0.1,0.9967,81.2248
True,False,False,BTC-USD,0.2975,10.0,15,1820,0.15610609022149724,0.7827,0.4852,1.0105910933740716,0.2,0.9894,80.6258
True,False,False,BTC-USD,0.1773,50.0,15,1820,0.2746084640412054,0.6625,0.4852,0.5989339540873609,0.2,0.9894,80.6258
True,False,False,BTC-USD,0.0264,100.0,15,1820,0.46493555690221955,0.5116,0.4852,0.08800699840589245,0.2,0.9894,80.6258
True,False,False,BTC-USD,0.2987,10.0,20,1795,0.16083927692321476,0.7607,0.462,0.9910143897553398,0.0,1.0,74.6117
