coin,horizon,seed,sharpe_har,sharpe_lstm,sharpe_bh,delta_sharpe_lstm_vs_har,lw_se,t_stat,mse_har,mse_lstm,mse_reduction_pct,loss_fn,n_obs,lstm_preds,har_preds,dm_stat,dm_pvalue,mean_loss_diff,dm_verdict
BTC-USD,1,0,0.752604310359194,0.7679748342334938,0.5376449648847917,0.015370523874299824,0.0008104362322040252,18.965741243452126,0.8876766414630621,0.8531015852386835,-3.8950057497730555,mse,1890,1890,1890,-1.5998500327214207,0.10979907919098242,-0.034575056224378634,INCONCLUSIVE
BTC-USD,1,1,0.752604310359194,0.7544800896194007,0.5376449648847917,0.0018757792602067669,0.0009627370944078399,1.9483816205924014,0.8876766414630621,0.8701080571734615,-1.9791648747954218,mse,1890,1890,1890,-0.909886025573138,0.36299870032478143,-0.017568584289600588,INCONCLUSIVE
BTC-USD,1,7,0.752604310359194,0.7664975487517698,0.5376449648847917,0.013893238392575835,0.0008712804049374247,15.945771664144846,0.8876766414630621,0.9263588021074255,4.357685990318243,mse,1890,1890,1890,0.8834597844184092,0.3771003210407833,0.03868216064436334,INCONCLUSIVE
BTC-USD,1,42,0.752604310359194,0.764296308813695,0.5376449648847917,0.011691998454501085,0.0010375931724147741,11.268384146447767,0.8876766414630621,0.926125262352088,4.331376888058602,mse,1890,1890,1890,0.9087925550247068,0.36357556682421466,0.038448620889025786,INCONCLUSIVE
BTC-USD,5,0,0.8489380275774776,0.8534238802985104,0.5484174747277581,0.004485852721032746,0.0010589317215232265,4.2362058193705305,0.5219741587277245,0.42163325761476705,-19.223346488556317,mse,1870,1870,1870,-3.9126413806366926,9.455992623652598e-05,-0.10034090111295736,BEATS baseline
BTC-USD,5,1,0.8489380275774776,0.8571704066866921,0.5484174747277581,0.008232379109214483,0.0008185803515305503,10.05689801107722,0.5219741587277245,0.46408064377108144,-11.09126074320507,mse,1870,1870,1870,-1.746333507527952,0.08091729981692342,-0.05789351495664302,INCONCLUSIVE
BTC-USD,5,7,0.8489380275774776,0.8460430411501679,0.5484174747277581,-0.002894986427309676,0.000995514682550679,-2.908029864403632,0.5219741587277245,0.4725583176913475,-9.467104876767202,mse,1870,1870,1870,-1.4902453092233918,0.136328480538507,-0.04941584103637696,INCONCLUSIVE
BTC-USD,5,42,0.8489380275774776,0.8470829026833084,0.5484174747277581,-0.001855124894169169,0.0008953447530299591,-2.071967125390743,0.5219741587277245,0.4189014848145581,-19.74670051950442,mse,1870,1870,1870,-3.666369906422696,0.00025289140664375154,-0.10307267391316634,BEATS baseline
BTC-USD,10,0,0.8375529843011371,0.8314149314948679,0.60241085270662,-0.006138052806269223,0.0012066264255772802,-5.086953738256334,0.5706841531937793,0.4599583702710759,-19.402287991183414,mse,1845,1845,1845,-2.3887113313313693,0.017007615344676763,-0.11072578292270348,BEATS baseline
BTC-USD,10,1,0.8375529843011371,0.83633394612562,0.60241085270662,-0.001219038175517162,0.0012950902877737157,-0.9412765944007744,0.5706841531937793,0.502605583112524,-11.929290431539071,mse,1845,1845,1845,-1.498945867324244,0.13405884449450634,-0.0680785700812552,INCONCLUSIVE
BTC-USD,10,7,0.8375529843011371,0.8626092276948428,0.60241085270662,0.025056243393705713,0.0012558502093189617,19.951617802646645,0.5706841531937793,0.4635464075854041,-18.773562400285524,mse,1845,1845,1845,-2.3372245914075895,0.019534024985980336,-0.10713774560837515,BEATS baseline
BTC-USD,10,42,0.8375529843011371,0.8599339512836135,0.60241085270662,0.02238096698247638,0.0014117868992517357,15.85293573296265,0.5706841531937793,0.42663205143234273,-25.24200136892934,mse,1845,1845,1845,-3.61271658849564,0.0003111211767938826,-0.14405210176143657,BEATS baseline
