month,article_gross,article_netexp,article_ret,article_spy,bab_gross,bab_netexp,bab_ret,bab_spy,spy_gross,spy_netexp,spy_ret,spy_spy
2010-01,0.8238705,0.8238705,-0.0292416,-0.0365219,0.7988657,0.2113541,-0.001209427,-0.0365219,0.8921637,0.8921637,-0.05216195,-0.0365219
2010-02,0.9861902,0.9861902,0.03893683,0.03157307,0.9361455,0.2415462,-0.006813483,0.03157307,0.9970279,0.9970279,0.03147785,0.03157307
2010-03,0.9798389,0.9798389,0.06826029,0.06060148,1.00972,0.2428511,-0.005903493,0.06060148,0.9971916,0.9971916,0.06042429,0.06060148
2010-04,0.9849159,0.9849159,0.05771711,0.01598427,0.9777523,0.2329421,0.0002409615,0.01598427,0.9973062,0.9973062,0.0159402,0.01598427
2010-05,0.9835853,0.9835853,-0.05757123,-0.0792529,0.8967495,0.2170364,0.001380157,-0.0792529,0.9971484,0.9971484,-0.07903782,-0.0792529
2010-06,0.9839657,0.9839657,-0.0453541,-0.0523475,0.8943383,0.2262239,0.01445996,-0.0523475,0.9970433,0.9970433,-0.05219324,-0.0523475
2010-07,0.9848237,0.9848237,0.05257003,0.06830072,0.9459335,0.2239745,-0.004235734,0.06830072,0.9970194,0.9970194,0.06808837,0.06830072
2010-08,0.9914394,0.9914394,-0.03447368,-0.04352952,0.9380011,0.2147392,0.008284865,-0.04352952,0.997061,0.997061,-0.04340281,-0.04352952
2010-09,0.9900608,0.9900608,0.08882432,0.08780396,0.9767964,0.2257356,0.001053898,0.08780396,0.9971408,0.9971408,0.08753678,0.08780396
2010-10,0.9767072,0.9767072,0.03490281,0.03864353,1.017993,0.2190094,0.007337766,0.03864353,0.997271,0.997271,0.03853541,0.03864353
2010-11,0.9771099,0.9771099,0.02228877,-0.0004218341,1.011344,0.2128884,-0.004526505,-0.0004218341,0.997342,0.997342,-0.0004206976,-0.0004218341
2010-12,0.9784302,0.9784302,0.0534461,0.06719683,1.034733,0.206841,-0.0007690838,0.06719683,0.9974303,0.9974303,0.06701572,0.06719683
2011-01,0.9823401,0.9823401,0.005164376,0.02297663,1.02332,0.1982484,-0.002030458,0.02297663,0.9975201,0.9975201,0.02291859,0.02297663
2011-02,0.982822,0.982822,0.03750058,0.03481775,1.01717,0.197292,-0.003194666,0.03481775,0.9975937,0.9975937,0.03473177,0.03481775
2011-03,0.9667074,0.9667074,0.0144193,-0.0004834014,0.9815174,0.2039741,0.01061381,-0.0004834014,0.9975716,0.9975716,-0.0004822477,-0.0004834014
2011-04,0.9830568,0.9830568,0.03178591,0.0304128,0.9877742,0.207249,0.007536718,0.0304128,0.9976207,0.9976207,0.03034018,0.0304128
2011-05,0.9867951,0.9867951,-0.004393329,-0.01208437,0.9752148,0.2063972,-0.001763438,-0.01208437,0.9976414,0.9976414,-0.01205637,-0.01208437
2011-06,0.9792943,0.9792943,-0.02156444,-0.01679611,0.9135598,0.2086516,0.002926538,-0.01679611,0.9975533,0.9975533,-0.01675671,-0.01679611
2011-07,0.9811231,0.9811231,-0.0209632,-0.02212624,0.9149207,0.2113282,-0.003499209,-0.02212624,0.9976275,0.9976275,-0.02207346,-0.02212624
2011-08,0.9871005,0.9871005,-0.05704036,-0.05416505,0.8174117,0.2021907,0.009112096,-0.05416505,0.9973526,0.9973526,-0.05403292,-0.05416505
2011-09,0.9849386,0.9849386,-0.08074156,-0.06803777,0.9115186,0.2022438,0.009522518,-0.06803777,0.997338,0.997338,-0.06786231,-0.06803777
2011-10,0.9888501,0.9888501,0.1053348,0.1085093,1.012693,0.1994057,-0.008590709,0.1085093,0.9973908,0.9973908,0.1082091,0.1085093
2011-11,0.9840249,0.9840249,0.001514904,-0.002710243,1.005627,0.2009847,0.00969576,-0.002710243,0.9974518,0.9974518,-0.002703477,-0.002710243
2011-12,0.9782663,0.9782663,0.01235948,0.00948161,0.9986572,0.1993277,0.005794442,0.00948161,0.9974909,0.9974909,0.009457875,0.00948161
2012-01,0.9822679,0.9822679,0.05675323,0.04549801,1.050184,0.199835,-0.008579064,0.04549801,0.9976013,0.9976013,0.04538518,0.04549801
2012-02,0.9830023,0.9830023,0.04165173,0.04313696,1.065754,0.1983265,-0.001478504,0.04313696,0.9976969,0.9976969,0.04303463,0.04313696
