family,instance_id,heuristic,solved,valid,nodes,seconds,inference_seconds
queens,queens-8,mrv,True,True,10,0.004447900006198324,0.0
queens,queens-8,max_degree,True,True,10,0.0039733000012347475,0.0
queens,queens-8,dom_wdeg,True,True,10,0.004827400000067428,0.0
queens,queens-8,activity,True,True,10,0.0043528999958653,0.0
queens,queens-9,mrv,True,True,10,0.0036326999979792163,0.0
queens,queens-9,max_degree,True,True,10,0.004554899991489947,0.0
queens,queens-9,dom_wdeg,True,True,10,0.004786100005730987,0.0
queens,queens-9,activity,True,True,10,0.0035004000092158094,0.0
queens,queens-10,mrv,True,True,12,0.005052399996202439,0.0
queens,queens-10,max_degree,True,True,14,0.006722899997839704,0.0
queens,queens-10,dom_wdeg,True,True,13,0.008157900010701269,0.0
queens,queens-10,activity,True,True,13,0.005883599995286204,0.0
queens,queens-11,mrv,True,True,16,0.009193599995342083,0.0
queens,queens-11,max_degree,True,True,33,0.02308640000410378,0.0
queens,queens-11,dom_wdeg,True,True,15,0.010847600002307445,0.0
queens,queens-11,activity,True,True,26,0.01688139999168925,0.0
queens,queens-12,mrv,True,True,12,0.006759500000043772,0.0
queens,queens-12,max_degree,True,True,27,0.01892509999743197,0.0
queens,queens-12,dom_wdeg,True,True,12,0.008249299993622117,0.0
queens,queens-12,activity,True,True,27,0.017412799992598593,0.0
queens,queens-13,mrv,True,True,19,0.013071900000795722,0.0
queens,queens-13,max_degree,True,True,109,0.09231430001091212,0.0
queens,queens-13,dom_wdeg,True,True,22,0.01971340000454802,0.0
queens,queens-13,activity,True,True,70,0.11480149999260902,0.0
queens,queens-14,mrv,True,True,20,0.01614500000141561,0.0
queens,queens-14,max_degree,True,True,45,0.05909490000340156,0.0
queens,queens-14,dom_wdeg,True,True,20,0.02672349999193102,0.0
queens,queens-14,activity,True,True,43,0.044476299997768365,0.0
queens,queens-15,mrv,True,True,15,0.02191080000193324,0.0
queens,queens-15,max_degree,True,True,52,0.05362619999505114,0.0
queens,queens-15,dom_wdeg,True,True,15,0.029233499997644685,0.0
queens,queens-15,activity,True,True,54,0.050428699993062764,0.0
queens,queens-16,mrv,True,True,16,0.01656409999122843,0.0
queens,queens-16,max_degree,True,True,28,0.08376909999060445,0.0
queens,queens-16,dom_wdeg,True,True,16,0.062498500003130175,0.0
queens,queens-16,activity,True,True,27,0.046384600005694665,0.0
queens,queens-17,mrv,True,True,22,0.05113599999458529,0.0
queens,queens-17,max_degree,True,True,69,0.14081779999833088,0.0
queens,queens-17,dom_wdeg,True,True,22,0.03733819999615662,0.0
queens,queens-17,activity,True,True,53,0.06040850000863429,0.0
queens,queens-18,mrv,True,True,18,0.03602700000919867,0.0
queens,queens-18,max_degree,True,True,21,0.040564099996117875,0.0
queens,queens-18,dom_wdeg,True,True,18,0.03778210000018589,0.0
queens,queens-18,activity,True,True,22,0.03286450001178309,0.0
queens,queens-19,mrv,True,True,22,0.03753580000193324,0.0
queens,queens-19,max_degree,True,True,28,0.04357759999402333,0.0
queens,queens-19,dom_wdeg,True,True,21,0.038576500010094605,0.0
queens,queens-19,activity,True,True,28,0.03920040000230074,0.0
coloring,coloring-00,mrv,True,True,16,0.0025206999998772517,0.0
coloring,coloring-00,max_degree,True,True,16,0.0015955999988364056,0.0
coloring,coloring-00,dom_wdeg,True,True,16,0.0037579999916488305,0.0
coloring,coloring-00,activity,True,True,16,0.0026070000021718442,0.0
coloring,coloring-01,mrv,True,True,17,0.0030854999931761995,0.0
coloring,coloring-01,max_degree,True,True,17,0.0022295000089798123,0.0
coloring,coloring-01,dom_wdeg,True,True,17,0.00503010000102222,0.0
coloring,coloring-01,activity,True,True,17,0.004120199999306351,0.0
coloring,coloring-02,mrv,True,True,18,0.003904199998942204,0.0
coloring,coloring-02,max_degree,True,True,18,0.0029107000009389594,0.0
coloring,coloring-02,dom_wdeg,True,True,18,0.008547099991119467,0.0
coloring,coloring-02,activity,True,True,18,0.003745200010598637,0.0
coloring,coloring-03,mrv,True,True,19,0.005270800000289455,0.0
coloring,coloring-03,max_degree,True,True,19,0.007388699988950975,0.0
coloring,coloring-03,dom_wdeg,True,True,19,0.007939500006614253,0.0
coloring,coloring-03,activity,True,True,19,0.0056610000028740615,0.0
coloring,coloring-04,mrv,True,True,20,0.004831400001421571,0.0
coloring,coloring-04,max_degree,True,True,20,0.003957000008085743,0.0
coloring,coloring-04,dom_wdeg,True,True,20,0.007946300000185147,0.0
coloring,coloring-04,activity,True,True,20,0.004773599997861311,0.0
coloring,coloring-05,mrv,True,True,21,0.0054751999996369705,0.0
coloring,coloring-05,max_degree,True,True,21,0.005286100000375882,0.0
coloring,coloring-05,dom_wdeg,True,True,21,0.00852969998959452,0.0
coloring,coloring-05,activity,True,True,21,0.006623100009164773,0.0
coloring,coloring-06,mrv,True,True,22,0.004738299991004169,0.0
