family,instance_id,node_id,candidate,domain_size,domain_ratio,degree,degree_ratio,weighted_degree,activity,dom_wdeg,progress,neighbor_domain_min,neighbor_domain_mean,neighbor_domain_max,label
queens,queens-8,queens-8:1,q0,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,1
queens,queens-8,queens-8:1,q1,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,0
queens,queens-8,queens-8:1,q2,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,0
queens,queens-8,queens-8:1,q3,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,0
queens,queens-8,queens-8:1,q4,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,0
queens,queens-8,queens-8:1,q5,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,0
queens,queens-8,queens-8:1,q6,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,0
queens,queens-8,queens-8:1,q7,8.0,1.0,7.0,1.0,7.0,0.0,1.1428571428571428,0.0,8.0,8.0,8.0,0
queens,queens-8,queens-8:2,q1,6.0,0.75,6.0,0.8571428571428571,6.0,1.0,1.0,0.125,6.0,6.0,6.0,1
queens,queens-8,queens-8:2,q2,6.0,0.75,6.0,0.8571428571428571,6.0,1.0,1.0,0.125,6.0,6.0,6.0,0
queens,queens-8,queens-8:2,q3,6.0,0.75,6.0,0.8571428571428571,6.0,1.0,1.0,0.125,6.0,6.0,6.0,0
queens,queens-8,queens-8:2,q4,6.0,0.75,6.0,0.8571428571428571,6.0,1.0,1.0,0.125,6.0,6.0,6.0,0
queens,queens-8,queens-8:2,q5,6.0,0.75,6.0,0.8571428571428571,6.0,1.0,1.0,0.125,6.0,6.0,6.0,0
