seed,kA,k,nA,nB,tA,tB,hint_conflicts
6000,4,4,778,876,0.057,0.045,57
6001,4,4,2827,849,0.037,0.037,51
6002,4,4,790,894,0.038,0.041,41
6003,4,4,3129,933,0.038,0.064,47
6004,4,4,781,880,0.071,0.071,41
6005,4,4,790,870,0.056,0.063,36
6006,4,4,786,880,0.061,0.045,46
6007,4,4,795,890,0.048,0.053,38
6008,4,4,781,865,0.059,0.058,42
6009,4,4,793,847,0.06,0.056,40
6010,4,4,802,891,0.05,0.047,38
6011,4,4,774,850,0.041,0.063,39
6012,4,4,722,885,0.064,0.059,48
6013,4,4,803,916,0.058,0.035,49
6014,4,4,2633,1988,0.037,0.05,34
6015,4,4,791,887,0.036,0.036,53
6016,4,4,776,856,0.037,0.069,42
6017,4,4,775,2149,0.053,0.062,47
6018,4,4,774,860,0.062,0.05,47
6019,4,4,783,876,0.05,0.057,38
6020,4,4,787,894,0.053,0.032,56
6021,4,4,800,870,0.051,0.058,53
6022,4,4,791,854,0.062,0.044,48
6023,4,4,2395,891,0.053,0.048,37
6024,4,4,2803,883,0.046,0.054,44
