phase,quantbook,status,details
audit,AllWeather,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": null, ""kernel"": ""HEALTHY""}"
audit,DualMomentum,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": 28692516, ""kernel"": ""HEALTHY""}"
audit,EMA-Cross-Alpha,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": 28885488, ""kernel"": ""HEALTHY""}"
audit,FuturesTrend,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": null, ""kernel"": ""HEALTHY""}"
audit,MomentumStrategy,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": null, ""kernel"": ""HEALTHY""}"
audit,RiskParity,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": null, ""kernel"": ""HEALTHY""}"
audit,SectorMomentum,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": null, ""kernel"": ""HEALTHY""}"
audit,TurnOfMonth,HEALTHY,"{""exists"": true, ""config_json"": true, ""cloud_id"": null, ""kernel"": ""HEALTHY""}"
push,AllWeather,DRY_RUN_PUSH_PENDING,"{""cloud_id"": null, ""action"": ""DRY_RUN_PUSH_PENDING""}"
push,DualMomentum,SKIP_ALREADY_PUSHED,"{""cloud_id"": 28692516, ""action"": ""SKIP_ALREADY_PUSHED""}"
push,EMA-Cross-Alpha,SKIP_ALREADY_PUSHED,"{""cloud_id"": 28885488, ""action"": ""SKIP_ALREADY_PUSHED""}"
push,FuturesTrend,DRY_RUN_PUSH_PENDING,"{""cloud_id"": null, ""action"": ""DRY_RUN_PUSH_PENDING""}"
push,MomentumStrategy,DRY_RUN_PUSH_PENDING,"{""cloud_id"": null, ""action"": ""DRY_RUN_PUSH_PENDING""}"
push,RiskParity,DRY_RUN_PUSH_PENDING,"{""cloud_id"": null, ""action"": ""DRY_RUN_PUSH_PENDING""}"
push,SectorMomentum,DRY_RUN_PUSH_PENDING,"{""cloud_id"": null, ""action"": ""DRY_RUN_PUSH_PENDING""}"
push,TurnOfMonth,DRY_RUN_PUSH_PENDING,"{""cloud_id"": null, ""action"": ""DRY_RUN_PUSH_PENDING""}"
exec,AllWeather,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
exec,DualMomentum,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
exec,EMA-Cross-Alpha,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
exec,FuturesTrend,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
exec,MomentumStrategy,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
exec,RiskParity,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
exec,SectorMomentum,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
exec,TurnOfMonth,DRY_RUN_EXEC_PENDING,"{""action"": ""DRY_RUN_EXEC_PENDING""}"
verify,,PASS,"{""scanner"": ""scripts/notebook_tools/detect_fabricated_outputs.py"", ""exit_code"": 0, ""stdout_tail"": [""Notebooks scanned     : 205"", ""Fabricated outputs   : 0"", ""Affected notebooks   : 0"", """", ""No fabricated text outputs detected (Row N / zero-stats dataframe check).""], ""status"": ""PASS""}"
verify,,PASS,"{""scanner"": ""scripts/notebook_tools/detect_blank_figures.py"", ""exit_code"": 0, ""stdout_tail"": [""Notebooks scanned  : 205"", ""Degenerate figures : 0"", ""Affected notebooks : 0"", """", ""No degenerate figures detected (deterministic dimension/size check).""], ""status"": ""PASS""}"
